Shipment_ID,Country,City,Warehouse,Transport_Mode,Distance_km,Delivery_Time_days,Expected_Delivery_days,Delay_days,Shipping_Cost,Order_Value,Order_Date,Delivery_Date
SHP-101316,Tanzania,Arusha,WH-Central-1,Truck,716,2,1,1,712.41,2734.68,2023-10-15,2023-10-17
SHP-101317,Ethiopia,Dire Dawa,WH-Central-1,Truck,981,3,2,1,680.16,4893.9,2023-11-01,2023-11-04
SHP-101318,Rwanda,Huye,WH-East-2,Truck,853,2,2,0,523.64,3300.4,2024-11-21,2024-11-23
SHP-101319,Cameroon,Bafoussam,WH-East-2,Sea,493,2,1,1,328.02,1071.19,2023-06-21,2023-06-23
SHP-101320,Tanzania,Arusha,WH-Central-1,Air,1054,2,2,0,1007.59,1680.29,2024-09-05,2024-09-07
SHP-101321,Uganda,Entebbe,WH-West-1,Rail,900,2,2,0,697.38,2239.37,2023-07-22,2023-07-24
SHP-101322,Uganda,Entebbe,WH-Central-1,Truck,1109,2,2,0,932.74,3105.92,2024-05-08,2024-05-10
SHP-101323,Kenya,Nairobi,WH-Central-1,Truck,758,1,1,0,515.11,1220.59,2023-09-20,2023-09-21
SHP-101324,Ethiopia,Mekelle,WH-West-1,Rail,727,2,1,1,519.62,507.85,2023-06-08,2023-06-10
SHP-101325,Rwanda,Kigali,WH-East-2,Truck,1174,3,2,1,595.68,556.03,2024-11-25,2024-11-28
SHP-101326,Tanzania,Arusha,WH-Central-1,Air,1122,2,2,0,786.08,4915.92,2024-04-10,2024-04-12
SHP-101327,Ethiopia,Mekelle,WH-West-1,Truck,470,1,1,0,350.67,2446.8,2024-11-21,2024-11-22
SHP-101328,Uganda,Gulu,WH-West-1,Truck,1658,4,4,0,679.99,205.78,2024-03-07,2024-03-11
SHP-101329,Kenya,Nairobi,WH-East-2,Air,802,2,2,0,521.88,917.27,2024-02-11,2024-02-13
SHP-101330,Cameroon,Yaounde,WH-East-1,Truck,1400,4,3,1,1619.35,1245.1,2023-06-29,2023-07-03
SHP-101331,Uganda,Kampala,WH-East-1,Truck,588,2,1,1,640.28,2534.84,2023-04-05,2023-04-07
SHP-101332,Uganda,Entebbe,WH-East-1,Truck,1288,3,3,0,1423.32,3012.88,2024-06-29,2024-07-02
SHP-101333,Uganda,Entebbe,WH-East-1,Truck,1465,4,3,1,1499.11,3678.99,2023-02-11,2023-02-15
SHP-101334,Ethiopia,Addis Ababa,WH-East-1,Air,488,1,1,0,346.61,685.17,2024-07-15,2024-07-16
SHP-101335,Uganda,Gulu,WH-East-2,Truck,691,2,1,1,422.1,1200.93,2024-06-19,2024-06-21
SHP-101336,Tanzania,Arusha,WH-East-2,Truck,923,3,2,1,424.82,350.99,2024-05-01,2024-05-04
SHP-101337,Nigeria,Lagos,WH-East-1,Truck,135,3,1,2,105.4,2459.65,2023-09-29,2023-10-02
SHP-101338,Tanzania,Arusha,WH-West-1,Truck,820,3,2,1,924.54,3316.37,2023-02-27,2023-03-02
SHP-101339,Nigeria,Kano,WH-Central-1,Truck,515,3,1,2,305.01,1922.06,2024-10-02,2024-10-05
SHP-101340,Kenya,Kisumu,WH-East-2,Truck,1535,4,3,1,1496.67,1233.59,2024-05-20,2024-05-24
SHP-101341,Uganda,Entebbe,WH-West-1,Truck,608,1,1,0,573.15,3867.19,2024-11-25,2024-11-26
SHP-101342,Cameroon,Bafoussam,WH-Central-1,Sea,494,2,1,1,353.55,1063.25,2023-07-19,2023-07-21
SHP-101343,Uganda,Entebbe,WH-East-2,Rail,997,3,2,1,405.06,2788.31,2024-07-09,2024-07-12
SHP-101344,Uganda,Gulu,WH-Central-1,Truck,1164,2,2,0,1244.01,3840.54,2023-08-13,2023-08-15
SHP-101345,Kenya,Mombasa,WH-East-1,Truck,617,2,1,1,618.58,1612.87,2024-06-18,2024-06-20
SHP-101346,Nigeria,Lagos,WH-Central-1,Truck,560,2,1,1,457.53,4622.71,2024-03-23,2024-03-25
SHP-101347,Ethiopia,Addis Ababa,WH-West-1,Sea,713,1,1,0,703.91,2671.75,2024-07-23,2024-07-24
SHP-101348,Uganda,Gulu,WH-East-1,Air,1206,3,3,0,1210.36,3663.82,2023-04-09,2023-04-12
SHP-101349,Nigeria,Abuja,WH-East-2,Air,866,2,2,0,573.83,959.55,2023-04-28,2023-04-30
SHP-101350,Ethiopia,Dire Dawa,WH-East-2,Truck,1147,4,2,2,972.9,606.45,2024-09-24,2024-09-28
SHP-101351,Ethiopia,Dire Dawa,WH-West-1,Truck,949,3,2,1,611.96,1245.44,2023-08-18,2023-08-21
SHP-101352,Cameroon,Bafoussam,WH-West-1,Rail,458,1,1,0,521.45,3790.83,2024-04-11,2024-04-12
SHP-101353,Kenya,Mombasa,WH-East-1,Truck,324,1,1,0,324.0,1042.95,2023-09-18,2023-09-19
SHP-101354,Kenya,Kisumu,WH-Central-1,Truck,1295,4,3,1,674.16,3178.68,2023-10-21,2023-10-25
SHP-101355,Cameroon,Bafoussam,WH-Central-1,Truck,468,3,1,2,537.36,1635.51,2023-09-09,2023-09-12
SHP-101356,Nigeria,Lagos,WH-East-2,Truck,1208,5,3,2,655.48,4637.26,2024-06-17,2024-06-22
SHP-101357,Rwanda,Musanze,WH-West-1,Truck,507,3,1,2,526.88,374.02,2024-11-19,2024-11-22
SHP-101358,Tanzania,Dodoma,WH-West-1,Truck,58,1,1,0,61.42,2509.05,2024-04-16,2024-04-17
SHP-101359,Rwanda,Kigali,WH-East-1,Sea,857,3,2,1,379.02,4122.01,2024-07-31,2024-08-03
SHP-101360,Rwanda,Kigali,WH-East-1,Truck,598,1,1,0,381.66,466.36,2023-01-02,2023-01-03
SHP-101361,Kenya,Kisumu,WH-West-1,Air,256,1,1,0,207.4,904.87,2024-01-21,2024-01-22
SHP-101362,Kenya,Nairobi,WH-East-2,Truck,1029,2,2,0,718.9,2204.11,2023-07-30,2023-08-01
SHP-101363,Kenya,Mombasa,WH-West-1,Truck,709,2,1,1,437.15,4299.2,2024-02-05,2024-02-07
SHP-101364,Nigeria,Abuja,WH-Central-1,Truck,432,2,1,1,250.58,2171.73,2024-09-05,2024-09-07
SHP-101365,Nigeria,Lagos,WH-Central-1,Truck,558,1,1,0,501.98,2446.71,2023-06-02,2023-06-03
SHP-101366,Nigeria,Lagos,WH-East-1,Truck,1013,3,2,1,680.82,1057.79,2024-02-14,2024-02-17
SHP-101367,Uganda,Kampala,WH-West-1,Truck,946,3,2,1,435.43,4800.07,2023-11-01,2023-11-04
SHP-101368,Nigeria,Abuja,WH-West-1,Rail,1503,4,3,1,1266.1,2545.09,2023-03-21,2023-03-25
SHP-101369,Rwanda,Musanze,WH-East-2,Truck,1147,3,2,1,1177.85,3367.64,2023-12-29,2024-01-01
SHP-101370,Uganda,Kampala,WH-East-1,Truck,565,2,1,1,243.62,4269.39,2024-08-27,2024-08-29
SHP-101371,Cameroon,Douala,WH-East-2,Truck,1126,4,2,2,1252.21,2853.19,2024-11-08,2024-11-12
SHP-101372,Cameroon,Yaounde,WH-Central-1,Truck,899,3,2,1,985.94,1224.62,2023-10-26,2023-10-29
SHP-101373,Cameroon,Douala,WH-East-1,Truck,624,2,1,1,508.91,3233.56,2024-07-14,2024-07-16
SHP-101374,Cameroon,Yaounde,WH-East-2,Truck,1426,4,3,1,1207.02,471.75,2023-04-29,2023-05-03
SHP-101375,Rwanda,Musanze,WH-East-2,Sea,1269,5,3,2,822.33,2733.97,2023-06-01,2023-06-06
SHP-101376,Kenya,Kisumu,WH-West-1,Truck,1364,4,3,1,1607.62,4487.07,2023-08-28,2023-09-01
SHP-101377,Kenya,Mombasa,WH-East-1,Truck,641,1,1,0,378.25,2615.7,2024-10-10,2024-10-11
SHP-101378,Kenya,Nairobi,WH-East-1,Truck,676,2,1,1,320.84,4620.25,2023-08-29,2023-08-31
SHP-101379,Cameroon,Yaounde,WH-East-2,Truck,359,2,1,1,175.27,2040.84,2024-10-20,2024-10-22
SHP-101380,Rwanda,Kigali,WH-East-2,Truck,1205,4,3,1,491.73,3507.95,2024-11-17,2024-11-21
SHP-101381,Cameroon,Bafoussam,WH-Central-1,Sea,1102,4,2,2,600.41,4803.23,2024-03-23,2024-03-27
SHP-101382,Nigeria,Kano,WH-East-1,Truck,954,3,2,1,1109.15,3441.7,2024-01-20,2024-01-23
SHP-101383,Cameroon,Douala,WH-East-1,Truck,993,2,2,0,683.24,2218.58,2023-03-11,2023-03-13
SHP-101384,Kenya,Mombasa,WH-Central-1,Rail,941,3,2,1,698.37,3277.37,2024-10-29,2024-11-01
SHP-101385,Uganda,Entebbe,WH-East-2,Truck,1078,3,2,1,914.59,4910.38,2023-12-29,2024-01-01
SHP-101386,Uganda,Gulu,WH-East-2,Truck,838,3,2,1,869.21,1583.44,2023-05-17,2023-05-20
SHP-101387,Rwanda,Huye,WH-West-1,Truck,1224,4,3,1,1038.42,4590.54,2024-04-17,2024-04-21
SHP-101388,Ethiopia,Mekelle,WH-West-1,Truck,1314,4,3,1,1384.4,3337.09,2024-08-10,2024-08-14
SHP-101389,Kenya,Kisumu,WH-Central-1,Truck,1099,3,2,1,1056.68,1290.52,2023-01-03,2023-01-06
SHP-101390,Uganda,Gulu,WH-East-2,Truck,980,3,2,1,525.15,710.27,2024-09-26,2024-09-29
SHP-101391,Kenya,Mombasa,WH-Central-1,Rail,449,1,1,0,287.87,1164.18,2024-06-25,2024-06-26
SHP-101392,Ethiopia,Dire Dawa,WH-West-1,Truck,1255,5,3,2,593.62,2294.95,2024-02-12,2024-02-17
SHP-101393,Cameroon,Bafoussam,WH-West-1,Air,290,1,1,0,163.8,3343.19,2023-01-31,2023-02-01
SHP-101394,Rwanda,Musanze,WH-Central-1,Air,934,2,2,0,872.92,1075.89,2024-03-05,2024-03-07
SHP-101395,Kenya,Mombasa,WH-East-1,Air,1158,2,2,0,548.09,738.91,2024-05-23,2024-05-25
SHP-101396,Ethiopia,Dire Dawa,WH-East-2,Truck,957,3,2,1,1083.23,873.28,2024-01-12,2024-01-15
SHP-101397,Uganda,Entebbe,WH-East-2,Truck,841,3,2,1,370.89,2099.22,2023-05-13,2023-05-16
SHP-101398,Tanzania,Arusha,WH-Central-1,Truck,1624,5,4,1,934.6,3724.25,2024-06-14,2024-06-19
SHP-101399,Ethiopia,Mekelle,WH-East-1,Truck,756,1,1,0,330.18,735.7,2023-05-12,2023-05-13
SHP-101400,Kenya,Nairobi,WH-East-1,Truck,1379,4,3,1,1167.94,4279.88,2024-11-28,2024-12-02
SHP-101401,Uganda,Kampala,WH-East-1,Truck,599,1,1,0,634.91,2621.97,2024-10-03,2024-10-04
SHP-101402,Cameroon,Yaounde,WH-West-1,Truck,1322,4,3,1,729.49,4647.2,2023-01-23,2023-01-27
SHP-101403,Cameroon,Bafoussam,WH-Central-1,Truck,1102,2,2,0,758.51,2249.13,2024-11-18,2024-11-20
SHP-101404,Kenya,Kisumu,WH-East-1,Truck,1000,3,2,1,487.54,1498.25,2023-02-02,2023-02-05
SHP-101405,Kenya,Kisumu,WH-West-1,Sea,636,3,1,2,597.45,1813.18,2023-04-29,2023-05-02
SHP-101406,Nigeria,Lagos,WH-West-1,Rail,687,2,1,1,391.02,1475.58,2023-03-08,2023-03-10
SHP-101407,Rwanda,Huye,WH-West-1,Rail,504,2,1,1,332.83,3407.54,2024-05-16,2024-05-18
SHP-101408,Nigeria,Kano,WH-East-1,Rail,1109,2,2,0,1075.45,1721.95,2024-01-13,2024-01-15
SHP-101409,Tanzania,Dodoma,WH-East-1,Air,430,2,1,1,194.24,3181.4,2023-06-14,2023-06-16
SHP-101410,Nigeria,Abuja,WH-East-1,Sea,1127,2,2,0,930.92,748.39,2024-01-20,2024-01-22
SHP-101411,Ethiopia,Addis Ababa,WH-East-1,Air,590,1,1,0,336.75,2774.86,2024-08-07,2024-08-08
SHP-101412,Ethiopia,Dire Dawa,WH-East-2,Truck,1516,5,3,2,977.23,2406.02,2023-05-11,2023-05-16
SHP-101413,Cameroon,Douala,WH-East-2,Truck,1205,4,3,1,944.37,4460.43,2024-02-01,2024-02-05
SHP-101414,Ethiopia,Dire Dawa,WH-East-1,Air,448,1,1,0,356.0,1620.76,2023-08-17,2023-08-18
SHP-101415,Ethiopia,Dire Dawa,WH-West-1,Air,958,2,2,0,953.3,4310.6,2023-08-06,2023-08-08
SHP-101416,Uganda,Kampala,WH-East-2,Air,250,1,1,0,207.99,1148.41,2023-10-29,2023-10-30
SHP-101417,Ethiopia,Dire Dawa,WH-Central-1,Air,1647,4,4,0,1507.65,297.64,2024-05-22,2024-05-26
SHP-101418,Ethiopia,Mekelle,WH-West-1,Sea,745,1,1,0,487.69,3181.44,2023-04-25,2023-04-26
SHP-101419,Tanzania,Dodoma,WH-Central-1,Rail,315,2,1,1,188.28,284.31,2024-03-09,2024-03-11
SHP-101420,Uganda,Entebbe,WH-West-1,Rail,1819,5,4,1,1376.57,1681.32,2024-03-01,2024-03-06
SHP-101421,Tanzania,Dodoma,WH-East-2,Truck,1551,4,3,1,1723.46,463.78,2023-05-04,2023-05-08
SHP-101422,Kenya,Mombasa,WH-Central-1,Truck,464,3,1,2,426.53,4437.5,2023-05-09,2023-05-12
SHP-101423,Uganda,Gulu,WH-West-1,Truck,393,1,1,0,374.13,4374.84,2024-07-11,2024-07-12
SHP-101424,Rwanda,Huye,WH-East-1,Truck,1375,3,3,0,980.47,4807.65,2023-08-23,2023-08-26
SHP-101425,Tanzania,Dar es Salaam,WH-Central-1,Sea,158,1,1,0,157.72,4581.9,2024-06-12,2024-06-13
SHP-101426,Kenya,Mombasa,WH-East-1,Air,1049,2,2,0,1077.96,3061.58,2024-09-17,2024-09-19
SHP-101427,Cameroon,Yaounde,WH-East-2,Truck,1079,3,2,1,1081.48,3357.34,2024-02-11,2024-02-14
SHP-101428,Uganda,Gulu,WH-East-2,Truck,1385,4,3,1,831.6,1802.44,2023-11-26,2023-11-30
SHP-101429,Tanzania,Dodoma,WH-East-2,Truck,453,1,1,0,184.14,3160.22,2023-03-07,2023-03-08
SHP-101430,Nigeria,Abuja,WH-East-1,Truck,1685,5,4,1,1031.94,2338.08,2024-05-13,2024-05-18
SHP-101431,Ethiopia,Addis Ababa,WH-East-1,Air,993,2,2,0,960.39,1284.74,2024-04-04,2024-04-06
SHP-101432,Nigeria,Abuja,WH-East-2,Truck,1461,4,3,1,1458.17,3706.6,2023-02-02,2023-02-06
SHP-101433,Cameroon,Bafoussam,WH-East-1,Truck,896,2,2,0,551.82,2174.46,2023-06-20,2023-06-22
SHP-101434,Tanzania,Dar es Salaam,WH-West-1,Truck,1341,4,3,1,1518.28,2140.46,2023-10-03,2023-10-07
SHP-101435,Rwanda,Huye,WH-Central-1,Rail,938,2,2,0,975.48,4204.43,2023-08-01,2023-08-03
SHP-101436,Uganda,Gulu,WH-East-1,Rail,1327,3,3,0,1443.1,687.55,2023-08-31,2023-09-03
SHP-101437,Kenya,Kisumu,WH-East-1,Truck,1759,6,4,2,1265.97,1106.79,2024-06-15,2024-06-21
SHP-101438,Cameroon,Yaounde,WH-East-1,Truck,912,2,2,0,660.04,2259.43,2023-06-08,2023-06-10
SHP-101439,Rwanda,Huye,WH-East-2,Truck,1746,5,4,1,740.0,4680.92,2024-01-04,2024-01-09
SHP-101440,Cameroon,Douala,WH-East-2,Truck,1497,4,3,1,782.93,839.49,2023-05-23,2023-05-27
SHP-101441,Cameroon,Yaounde,WH-West-1,Air,928,2,2,0,684.5,4617.87,2024-09-07,2024-09-09
SHP-101442,Ethiopia,Mekelle,WH-East-1,Truck,50,1,1,0,38.9,2559.74,2023-01-13,2023-01-14
SHP-101443,Tanzania,Arusha,WH-East-2,Truck,684,1,1,0,505.07,2875.26,2024-09-14,2024-09-15
SHP-101444,Rwanda,Huye,WH-East-1,Truck,569,1,1,0,235.7,361.08,2023-12-05,2023-12-06
SHP-101445,Tanzania,Dar es Salaam,WH-West-1,Truck,523,2,1,1,379.88,2586.78,2023-01-29,2023-01-31
SHP-101446,Nigeria,Kano,WH-East-2,Air,841,2,2,0,842.23,2358.51,2024-03-04,2024-03-06
SHP-101447,Uganda,Entebbe,WH-East-2,Truck,1073,3,2,1,907.74,3290.92,2024-03-04,2024-03-07
SHP-101448,Cameroon,Bafoussam,WH-East-2,Truck,1251,5,3,2,501.82,2887.83,2024-02-18,2024-02-23
SHP-101449,Cameroon,Bafoussam,WH-East-2,Truck,777,2,1,1,354.64,3909.46,2023-06-24,2023-06-26
SHP-101450,Tanzania,Arusha,WH-Central-1,Air,1532,3,3,0,1710.96,4335.51,2023-04-25,2023-04-28
SHP-101451,Ethiopia,Addis Ababa,WH-East-1,Air,717,1,1,0,467.62,4717.85,2024-08-17,2024-08-18
SHP-101452,Uganda,Gulu,WH-Central-1,Truck,917,3,2,1,580.25,4012.89,2023-12-10,2023-12-13
SHP-101453,Tanzania,Dodoma,WH-East-1,Air,917,2,2,0,461.53,4740.81,2024-05-13,2024-05-15
SHP-101454,Kenya,Mombasa,WH-West-1,Truck,898,4,2,2,1061.18,4023.59,2023-10-17,2023-10-21
SHP-101455,Uganda,Kampala,WH-East-2,Truck,1048,3,2,1,596.54,2873.08,2024-07-04,2024-07-07
SHP-101456,Tanzania,Dar es Salaam,WH-East-1,Truck,675,2,1,1,781.5,4779.94,2024-11-24,2024-11-26
SHP-101457,Rwanda,Kigali,WH-East-2,Rail,626,1,1,0,409.72,4791.33,2024-07-06,2024-07-07
SHP-101458,Nigeria,Abuja,WH-East-1,Truck,568,2,1,1,270.34,1730.49,2024-11-25,2024-11-27
SHP-101459,Nigeria,Lagos,WH-Central-1,Truck,1418,4,3,1,833.27,1125.22,2024-02-07,2024-02-11
SHP-101460,Rwanda,Huye,WH-East-2,Air,1297,3,3,0,576.74,4893.07,2024-07-07,2024-07-10
SHP-101461,Kenya,Nairobi,WH-Central-1,Truck,768,1,1,0,424.38,2927.4,2024-07-23,2024-07-24
SHP-101462,Ethiopia,Mekelle,WH-East-2,Air,1175,3,2,1,1405.79,265.65,2023-09-06,2023-09-09
SHP-101463,Cameroon,Douala,WH-West-1,Truck,1293,3,3,0,604.88,3759.72,2024-04-30,2024-05-03
SHP-101464,Cameroon,Bafoussam,WH-East-1,Truck,564,1,1,0,635.59,4080.86,2024-09-18,2024-09-19
SHP-101465,Rwanda,Huye,WH-East-2,Air,1089,2,2,0,672.1,1599.96,2023-03-28,2023-03-30
SHP-101466,Ethiopia,Dire Dawa,WH-East-1,Truck,529,1,1,0,487.82,782.26,2023-05-03,2023-05-04
SHP-101467,Rwanda,Kigali,WH-West-1,Air,217,1,1,0,99.67,366.76,2023-11-25,2023-11-26
SHP-101468,Cameroon,Bafoussam,WH-Central-1,Rail,490,1,1,0,246.23,2658.1,2023-07-15,2023-07-16
SHP-101469,Rwanda,Huye,WH-West-1,Truck,796,2,1,1,608.93,2749.49,2023-04-13,2023-04-15
SHP-101470,Uganda,Entebbe,WH-East-1,Sea,999,1,2,-1,647.1,1626.16,2023-08-03,2023-08-04
SHP-101471,Uganda,Entebbe,WH-East-1,Truck,1163,3,2,1,704.42,3166.61,2023-11-19,2023-11-22
SHP-101472,Ethiopia,Dire Dawa,WH-East-1,Truck,622,2,1,1,505.59,1860.67,2024-04-15,2024-04-17
SHP-101473,Ethiopia,Dire Dawa,WH-Central-1,Truck,839,3,2,1,405.07,1416.83,2024-10-05,2024-10-08
SHP-101474,Cameroon,Douala,WH-East-1,Truck,1154,2,2,0,972.08,3543.39,2024-02-22,2024-02-24
SHP-101475,Tanzania,Arusha,WH-Central-1,Truck,827,2,2,0,885.32,2675.53,2023-09-21,2023-09-23
SHP-101476,Ethiopia,Dire Dawa,WH-East-1,Truck,737,2,1,1,769.23,3735.17,2024-10-09,2024-10-11
SHP-101477,Uganda,Kampala,WH-Central-1,Truck,828,2,2,0,453.71,386.88,2023-01-26,2023-01-28
SHP-101478,Tanzania,Arusha,WH-East-2,Truck,1030,3,2,1,971.55,3864.23,2023-10-28,2023-10-31
SHP-101479,Uganda,Entebbe,WH-East-2,Truck,1073,2,2,0,1216.9,574.93,2023-10-27,2023-10-29
SHP-101480,Ethiopia,Addis Ababa,WH-West-1,Sea,1276,3,3,0,789.47,2971.52,2024-10-15,2024-10-18
SHP-101481,Ethiopia,Dire Dawa,WH-West-1,Truck,1423,3,3,0,1588.83,3990.62,2023-05-17,2023-05-20
SHP-101482,Kenya,Kisumu,WH-East-2,Truck,232,2,1,1,94.58,1562.46,2023-03-25,2023-03-27
SHP-101483,Cameroon,Douala,WH-East-2,Truck,1073,2,2,0,793.45,4595.32,2023-12-15,2023-12-17
SHP-101484,Cameroon,Bafoussam,WH-East-2,Truck,1482,3,3,0,1186.43,4911.73,2024-08-04,2024-08-07
SHP-101485,Nigeria,Lagos,WH-East-2,Truck,231,2,1,1,130.98,4732.48,2023-01-14,2023-01-16
SHP-101486,Ethiopia,Mekelle,WH-East-1,Truck,671,2,1,1,621.29,275.11,2023-02-15,2023-02-17
SHP-101487,Nigeria,Lagos,WH-East-1,Air,1302,3,3,0,775.79,2956.97,2024-06-21,2024-06-24
SHP-101488,Uganda,Gulu,WH-Central-1,Truck,620,1,1,0,342.09,1821.7,2023-02-24,2023-02-25
SHP-101489,Nigeria,Kano,WH-Central-1,Truck,977,4,2,2,1052.98,2561.31,2024-07-29,2024-08-02
SHP-101490,Kenya,Nairobi,WH-East-2,Truck,988,3,2,1,1157.26,1757.85,2024-07-13,2024-07-16
SHP-101491,Nigeria,Kano,WH-Central-1,Truck,1031,3,2,1,1180.58,901.24,2024-03-18,2024-03-21
SHP-101492,Ethiopia,Addis Ababa,WH-East-2,Truck,513,2,1,1,604.17,1230.85,2023-05-11,2023-05-13
SHP-101493,Rwanda,Huye,WH-East-1,Air,682,1,1,0,486.28,2216.65,2024-11-09,2024-11-10
SHP-101494,Uganda,Kampala,WH-West-1,Air,1337,3,3,0,1282.86,3728.56,2023-07-23,2023-07-26
SHP-101495,Tanzania,Dar es Salaam,WH-West-1,Truck,1025,3,2,1,614.47,4121.52,2023-03-19,2023-03-22
SHP-101496,Kenya,Nairobi,WH-East-2,Truck,1045,3,2,1,711.88,503.93,2024-11-21,2024-11-24
SHP-101497,Uganda,Kampala,WH-Central-1,Sea,427,1,1,0,292.49,3434.0,2024-05-25,2024-05-26
SHP-101498,Kenya,Kisumu,WH-East-2,Air,622,1,1,0,464.53,2442.44,2024-05-08,2024-05-09
SHP-101499,Rwanda,Kigali,WH-West-1,Rail,736,2,1,1,628.74,1877.24,2024-05-08,2024-05-10
SHP-101500,Uganda,Entebbe,WH-Central-1,Rail,122,2,1,1,62.54,951.84,2024-03-23,2024-03-25
SHP-101501,Kenya,Mombasa,WH-West-1,Air,1285,3,3,0,1369.8,4426.8,2024-02-29,2024-03-03
SHP-101502,Ethiopia,Mekelle,WH-West-1,Air,755,1,1,0,404.94,1891.82,2024-06-25,2024-06-26
SHP-101503,Uganda,Entebbe,WH-East-1,Truck,743,1,1,0,450.48,652.27,2023-08-09,2023-08-10
SHP-101504,Uganda,Gulu,WH-East-1,Rail,761,2,1,1,484.7,3211.16,2023-10-22,2023-10-24
SHP-101505,Kenya,Kisumu,WH-West-1,Sea,883,4,2,2,752.33,2447.49,2024-09-13,2024-09-17
SHP-101506,Rwanda,Musanze,WH-West-1,Truck,1170,3,2,1,1334.74,314.27,2023-02-06,2023-02-09
SHP-101507,Cameroon,Douala,WH-East-2,Truck,849,3,2,1,671.4,3567.19,2024-11-21,2024-11-24
SHP-101508,Uganda,Gulu,WH-Central-1,Truck,1244,2,3,-1,499.32,668.8,2023-03-13,2023-03-15
SHP-101509,Uganda,Gulu,WH-East-1,Air,903,2,2,0,487.95,4069.81,2024-09-13,2024-09-15
SHP-101510,Kenya,Mombasa,WH-West-1,Truck,813,3,2,1,856.66,4596.76,2023-07-28,2023-07-31
SHP-101511,Ethiopia,Addis Ababa,WH-East-2,Air,868,2,2,0,923.06,3702.5,2023-05-27,2023-05-29
SHP-101512,Cameroon,Bafoussam,WH-East-2,Truck,778,2,1,1,431.28,1178.66,2023-05-11,2023-05-13
SHP-101513,Tanzania,Arusha,WH-East-1,Truck,474,3,1,2,430.98,3508.83,2024-04-12,2024-04-15
SHP-101514,Ethiopia,Mekelle,WH-East-2,Rail,1648,5,4,1,1731.9,221.51,2023-12-17,2023-12-22
SHP-101515,Rwanda,Huye,WH-Central-1,Air,1210,3,3,0,659.52,2483.82,2024-04-02,2024-04-05
SHP-101516,Cameroon,Douala,WH-East-1,Truck,776,1,1,0,716.27,2302.55,2024-06-27,2024-06-28
SHP-101517,Cameroon,Yaounde,WH-Central-1,Truck,353,1,1,0,305.66,4937.14,2024-09-12,2024-09-13
SHP-101518,Cameroon,Yaounde,WH-East-2,Truck,191,1,1,0,123.26,4815.58,2024-02-09,2024-02-10
SHP-101519,Uganda,Kampala,WH-East-2,Sea,721,2,1,1,833.52,4936.69,2023-02-01,2023-02-03
SHP-101520,Ethiopia,Mekelle,WH-East-2,Truck,801,2,2,0,494.5,1889.14,2023-03-08,2023-03-10
SHP-101521,Kenya,Nairobi,WH-East-1,Truck,470,2,1,1,505.04,4769.88,2024-07-07,2024-07-09
SHP-101522,Tanzania,Dodoma,WH-West-1,Truck,1262,4,3,1,1272.6,2711.25,2024-10-08,2024-10-12
SHP-101523,Kenya,Nairobi,WH-East-2,Sea,1176,4,2,2,503.92,4691.14,2024-02-15,2024-02-19
SHP-101524,Rwanda,Musanze,WH-Central-1,Truck,581,1,1,0,402.52,1659.54,2023-01-06,2023-01-07
SHP-101525,Uganda,Gulu,WH-East-1,Truck,1340,4,3,1,569.89,3912.28,2023-02-06,2023-02-10
SHP-101526,Uganda,Kampala,WH-East-2,Truck,868,2,2,0,906.96,2301.44,2024-01-24,2024-01-26
SHP-101527,Uganda,Gulu,WH-West-1,Truck,717,2,1,1,647.18,3723.71,2024-03-10,2024-03-12
SHP-101528,Ethiopia,Mekelle,WH-East-1,Truck,921,3,2,1,889.25,392.67,2024-01-18,2024-01-21
SHP-101529,Ethiopia,Dire Dawa,WH-East-2,Truck,664,2,1,1,446.38,1748.28,2023-10-25,2023-10-27
SHP-101530,Kenya,Nairobi,WH-Central-1,Truck,995,3,2,1,831.23,4791.19,2024-09-12,2024-09-15
SHP-101531,Nigeria,Lagos,WH-Central-1,Truck,1290,4,3,1,899.46,1136.15,2023-03-22,2023-03-26
SHP-101532,Rwanda,Kigali,WH-East-1,Truck,1240,4,3,1,1377.98,4968.13,2023-03-02,2023-03-06
SHP-101533,Kenya,Nairobi,WH-Central-1,Truck,1064,3,2,1,1254.14,1458.39,2023-05-29,2023-06-01
SHP-101534,Cameroon,Bafoussam,WH-East-2,Sea,947,3,2,1,409.05,4209.04,2023-05-27,2023-05-30
SHP-101535,Cameroon,Bafoussam,WH-Central-1,Sea,613,2,1,1,280.46,3635.23,2023-10-01,2023-10-03
SHP-101536,Rwanda,Huye,WH-Central-1,Truck,774,3,1,2,340.42,2715.74,2023-01-23,2023-01-26
SHP-101537,Uganda,Kampala,WH-West-1,Rail,999,3,2,1,903.58,4683.95,2024-06-14,2024-06-17
SHP-101538,Rwanda,Huye,WH-West-1,Truck,807,2,2,0,940.16,2281.89,2024-07-03,2024-07-05
SHP-101539,Cameroon,Yaounde,WH-Central-1,Truck,663,2,1,1,456.57,4166.52,2023-11-13,2023-11-15
SHP-101540,Ethiopia,Addis Ababa,WH-East-2,Truck,1048,3,2,1,931.91,1349.43,2024-08-30,2024-09-02
SHP-101541,Rwanda,Musanze,WH-East-1,Truck,1070,2,2,0,671.86,2199.83,2023-09-05,2023-09-07
SHP-101542,Cameroon,Bafoussam,WH-Central-1,Truck,1876,5,4,1,1892.22,4283.75,2023-06-29,2023-07-04
